Intake,Intake Manifold,Downpipe,Exhaust,Tuner,Horsepower,Torque
Yes,No,Yes,Yes,Genesis,210,182
Yes,Yes,Yes,Yes,Genesis,225,180
Yes,Yes,Yes,Yes,Genesis,222,180
Yes,No,No,Yes,Genesis,210,180
Yes,No,Yes,Yes,Genesis,210,187
Yes,Yes,Yes,Yes,Genesis,224,181
Yes,No,Yes,Yes,Genesis,214,185
Yes,No,Yes,Yes,Genesis,202,180
Yes,Yes,Yes,Yes,Genesis,215,174
Yes,No,Yes,No,Genesis,210,182
Yes,No,No,No,Genesis,199,177
Yes,No,Yes,Yes,Genesis,208,181
Yes,No,Yes,Yes,Genesis,211,182
Yes,Yes,Yes,Yes,Genesis,215,170
Yes,No,Yes,Yes,Genesis,206,181
Yes,Yes,Yes,Yes,Genesis,223,180
No,No,Yes,Yes,Genesis,207,180
Yes,No,Yes,No,Genesis,200,174
Yes,No,No,No,Genesis,206,181
Yes,No,No,No,Genesis,210,178
Yes,No,Yes,Yes,Genesis,212,183
Yes,No,Yes,No,Genesis,215,179
Yes,Yes,Yes,Yes,Genesis,212,176
Yes,No,Yes,Yes,Genesis,207,180
Yes,No,Yes,Yes,Genesis,208,183
Yes,No,Yes,Yes,Genesis,212,187
Yes,No,Yes,Yes,Genesis,208,182
Yes,Yes,Yes,Yes,Genesis,221,175
Yes,No,Yes,Yes,Genesis,206,177
Yes,No,Yes,Yes,Genesis,208,177
Yes,Yes,Yes,Yes,Genesis,228,176
Yes,No,Yes,Yes,Genesis,202,179
Yes,Yes,Yes,Yes,Genesis,226,178
Yes,Yes,Yes,Yes,Genesis,223,179
Yes,Yes,Yes,Yes,Genesis,226,182
Yes,No,Yes,Yes,Genesis,206,183
Yes,No,Yes,Yes,Genesis,209,183
Yes,No,Yes,Yes,Genesis,212,179
Yes,No,Yes,Yes,Genesis,211,189
Yes,No,Yes,Yes,Genesis,208,181
Yes,No,Yes,Yes,Genesis,205,180
Yes,Yes,Yes,Yes,Genesis,233,183
Yes,Yes,Yes,Yes,Genesis,232,181
Yes,No,Yes,Yes,Genesis,202,180
Yes,Yes,Yes,Yes,Genesis,225,173
No,No,No,No,Genesis,202,176
Yes,No,Yes,Yes,Genesis,207,183
Yes,Yes,Yes,Yes,Genesis,222,176
Yes,Yes,Yes,Yes,Genesis,225,178
Yes,No,No,Yes,Genesis,206,182
Yes,Yes,Yes,Yes,Genesis,224,181
Yes,Yes,No,Yes,Genesis,225,173
Yes,No,Yes,Yes,Genesis,210,182
Yes,No,Yes,Yes,Genesis,207,181
No,No,Yes,Yes,Genesis,204,179
Yes,No,Yes,Yes,Genesis,208,178
Yes,Yes,No,Yes,Genesis,216,167
Yes,No,No,Yes,Genesis,208,181
No,No,Yes,Yes,Genesis,206,177
Yes,Yes,No,Yes,Genesis,208,164
Yes,Yes,Yes,Yes,Genesis,226,178
Yes,Yes,Yes,Yes,Genesis,224,180
Yes,Yes,Yes,Yes,Genesis,221,173
Yes,No,No,Yes,Genesis,212,182
Yes,Yes,Yes,Yes,Derf,224,182
Yes,Yes,Yes,Yes,Derf,222,173
Yes,No,Yes,Yes,Javi,197,169
Yes,Yes,Yes,Yes,Derf,220,169
Yes,Yes,Yes,Yes,Drob,221,186
Yes,No,No,Yes,Drob,197,174
Yes,Yes,Yes,Yes,Drob,215,179
Yes,Yes,Yes,Yes,Precision,206,163
Yes,Yes,Yes,Yes,Precision,208,172
Yes,Yes,Yes,Yes,Precision,209,167
Yes,Yes,Yes,Yes,Precision,212,170
Yes,No,Yes,No,Precision,187,167
Yes,No,Yes,No,Precision,194,174
Yes,No,No,No,Precision,187,161
Yes,Yes,Yes,Yes,Precision,202,168
Yes,No,Yes,Yes,Precision,195,176
Yes,Yes,Yes,Yes,Precision,204,169
Yes,No,No,Yes,Precision,191,162
Yes,No,No,Yes,Precision,190,169
Yes,Yes,Yes,No,Precision,201,163
Yes,No,Yes,No,Precision,191,173
Yes,Yes,Yes,Yes,Precision,214,172
Yes,No,Yes,Yes,Precision,194,170
Yes,Yes,Yes,No,Precision,203,168
Yes,No,Yes,No,Precision,192,167
Yes,Yes,Yes,No,Precision,195,163
Yes,No,No,No,Precision,179,159
Yes,No,Yes,Yes,Precision,198,172
No,No,No,No,Precision,187,160
Yes,Yes,Yes,Yes,Precision,206,172
Yes,Yes,Yes,Yes,Precision,205,166
Yes,Yes,Yes,Yes,Precision,212,174
Yes,Yes,Yes,Yes,Precision,206,172
Yes,No,Yes,No,Precision,189,170
Yes,No,Yes,Yes,Precision,193,170
Yes,Yes,Yes,Yes,Precision,208,171
Yes,Yes,Yes,Yes,Precision,203,166
Yes,No,Yes,Yes,Precision,191,166
Yes,No,Yes,Yes,Precision,197,170
Yes,No,Yes,Yes,Precision,194,166
Yes,No,Yes,No,Precision,186,163
Yes,Yes,Yes,Yes,Precision,208,168
Yes,Yes,Yes,Yes,Precision,204,170
Yes,Yes,Yes,No,Precision,204,163
Yes,Yes,Yes,Yes,Precision,201,171
Yes,No,Yes,Yes,Precision,186,169
Yes,No,No,No,Precision,182,161
No,No,No,No,Precision,176,159
